Age,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night
22,97,40,59,73,53,7,62,83,2,10,1,0,2,2,1,5
18,97,57,74,74,98,8,98,92,4,27,0,0,1,1,4,4
24,99,41,63,85,50,0,91,93,4,12,1,0,1,1,9,6
24,90,45,44,68,66,0,55,51,0,25,0,1,1,1,8,4
23,59,53,61,67,83,6,87,90,0,13,1,0,2,2,6,4
21,60,70,64,87,52,5,67,92,3,25,1,0,0,2,6,5
24,67,90,93,89,54,1,87,79,0,22,1,0,0,0,2,4
19,65,91,59,50,53,5,90,74,4,16,1,1,0,1,5,7
21,97,76,62,57,79,9,57,55,3,18,0,1,3,0,9,4
22,89,95,86,60,94,6,83,61,2,9,1,0,0,0,8,7
23,86,70,85,67,77,4,93,74,3,7,1,1,1,1,4,8
20,59,93,87,64,80,8,66,93,1,22,1,0,0,1,7,8
21,95,67,97,83,67,2,54,90,3,26,0,0,0,2,9,6
18,91,56,87,91,50,4,51,74,0,23,0,0,3,2,5,7
19,58,94,64,59,51,5,55,89,2,27,0,1,0,0,2,6
18,93,63,89,78,94,5,50,88,1,27,1,0,0,1,2,6
21,63,70,70,68,55,9,66,78,3,24,0,1,1,0,8,6
23,54,59,56,75,99,2,64,61,2,27,0,0,0,2,8,7
20,82,79,58,81,58,0,55,67,0,9,1,1,1,0,8,7
20,82,99,53,94,83,9,82,58,2,23,0,1,2,1,5,7
18,54,41,48,59,97,2,99,50,2,23,0,0,3,0,2,7
22,65,93,51,54,68,3,95,54,1,8,0,0,0,0,10,8
22,99,40,43,81,86,5,62,87,4,27,0,1,3,1,8,7
23,83,61,93,69,67,9,88,51,0,5,1,1,0,1,4,8
20,86,50,95,58,65,5,96,69,1,15,0,1,0,1,9,7
18,60,85,75,55,60,4,95,99,1,5,0,0,3,2,10,7
18,53,43,90,77,91,5,94,89,1,18,0,0,3,0,6,8
18,63,73,51,65,62,9,89,87,4,15,0,1,1,0,10,7
21,62,57,94,99,64,8,64,63,4,20,1,0,2,1,7,4
23,61,48,70,70,99,1,54,82,3,24,1,1,3,1,3,4
22,59,86,44,60,66,8,74,74,3,24,1,1,0,2,2,5
22,78,53,48,81,71,8,52,81,0,23,1,0,2,1,2,8
21,66,53,58,62,99,6,99,71,0,7,1,0,2,2,3,4
19,91,56,42,74,68,6,67,76,4,15,0,0,0,2,7,4
21,59,75,58,74,68,4,97,99,4,25,0,1,2,2,8,4
23,73,79,43,72,91,6,88,66,4,21,0,0,0,1,4,4
18,50,41,54,89,65,7,70,60,1,22,1,1,2,0,3,8
21,74,54,55,60,61,1,55,72,4,10,1,1,1,1,7,5
18,52,65,99,95,71,2,61,76,1,13,1,0,2,0,3,7
23,98,59,54,89,85,1,83,54,1,28,0,0,3,1,8,4
24,89,93,54,66,52,8,91,90,0,26,1,0,2,2,4,6
23,74,87,81,59,68,6,98,71,2,9,1,1,1,0,8,4
20,54,77,91,63,67,4,56,70,3,18,0,0,1,1,2,4
18,79,60,63,66,62,8,57,82,3,17,1,1,2,1,8,7
22,87,82,92,77,82,7,52,88,0,16,0,1,0,0,8,6
21,59,90,69,74,74,4,74,75,1,16,1,1,2,2,10,6
24,78,75,69,74,74,4,74,75,1,21,1,0,0,2,3,4
23,90,87,69,74,74,4,74,75,1,29,0,0,1,0,2,6
18,88,84,69,74,74,4,74,75,1,26,0,0,2,1,7,7
24,90,74,69,74,74,4,74,75,1,26,0,1,0,2,9,4
19,93,58,69,74,74,4,74,75,1,22,1,1,0,1,10,6
