Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
0,3,1,22,1,0,523,7,47,2
1,1,0,38,1,0,596,71,81,0
1,3,0,26,0,0,669,7,47,2
1,1,0,35,1,0,49,53,55,2
0,3,1,35,0,0,472,8,47,2
0,3,1,24,0,0,275,8,47,1
0,1,1,54,0,0,85,51,129,2
0,3,1,2,3,1,395,21,47,2
1,3,0,27,0,2,344,11,47,2
1,2,0,14,1,0,132,30,47,0
1,3,0,4,1,1,616,16,145,2
1,1,0,58,0,0,38,26,49,2
0,3,1,20,0,0,535,8,47,2
0,3,1,39,1,5,333,31,47,2
0,3,0,14,0,0,413,7,47,2
1,2,0,55,0,0,153,16,47,2
0,3,1,2,4,1,480,29,47,1
1,2,1,24,0,0,151,13,47,2
0,3,0,31,1,0,301,18,47,2
1,3,0,24,0,0,184,7,47,0
0,2,1,35,0,0,139,26,47,2
1,2,1,34,0,0,152,13,111,2
1,3,0,15,0,0,278,8,47,1
1,1,1,28,0,0,42,35,13,2
0,3,0,8,3,1,395,21,47,2
1,3,0,38,1,5,329,31,47,2
0,3,1,24,0,0,179,7,47,0
0,1,1,19,3,2,95,263,63,2
1,3,0,24,0,0,283,7,47,1
0,3,1,24,0,0,362,7,47,2
0,1,1,40,0,0,598,27,47,0
1,1,0,24,1,0,586,146,41,0
1,3,0,24,0,0,288,7,47,1
0,2,1,66,0,0,549,10,47,2
0,1,1,28,1,0,600,82,47,0
0,1,1,42,1,0,43,52,47,2
1,3,1,24,0,0,202,7,47,0
0,3,1,21,0,0,514,8,47,2
0,3,0,18,2,0,302,18,47,2
1,3,0,14,1,0,186,11,47,0
0,3,0,40,1,0,507,9,47,2
0,2,0,27,1,0,53,21,47,2
0,3,1,24,0,0,391,7,47,0
1,2,0,3,1,2,634,41,47,0
1,3,0,19,0,0,282,7,47,1
0,3,1,24,0,0,617,8,47,2
0,3,1,24,1,0,462,15,47,1
1,3,0,24,0,0,76,7,47,1
0,3,1,24,2,0,190,21,47,0
0,3,0,18,1,0,377,17,47,2
0,3,1,7,4,1,249,39,47,2
0,3,1,21,0,0,522,7,47,2
1,1,0,49,1,0,587,76,101,0
1,2,0,29,1,0,239,26,47,2
0,1,1,65,0,1,29,61,23,0
1,1,1,24,0,0,94,35,71,2
1,2,0,21,0,0,555,10,47,2
0,3,1,28,0,0,215,7,47,0
1,2,0,5,1,2,561,27,47,2
0,3,1,11,5,2,566,46,47,2
0,3,1,22,0,0,197,7,47,0
1,1,0,38,0,0,32,80,21,2
0,1,1,45,1,0,457,83,80,2
0,3,1,4,3,2,337,27,47,2
0,1,1,24,0,0,601,27,47,0
1,3,1,24,1,1,189,15,47,0
1,2,0,29,0,0,553,10,142,2
0,3,1,19,0,0,623,8,47,2
1,3,0,17,4,2,248,7,47,2
0,3,1,26,2,0,270,8,47,2
0,2,1,32,0,0,557,10,47,2
0,3,0,16,5,2,566,46,47,2
0,2,1,21,0,0,621,73,47,2
0,3,1,26,1,0,204,14,47,0
1,3,1,32,0,0,80,56,47,2
0,3,1,25,0,0,347,7,140,2
0,3,1,24,0,0,355,7,47,2
0,3,1,24,0,0,473,8,47,2
1,2,1,0,0,2,158,29,47,2
1,3,0,30,0,0,432,12,47,2
0,3,1,22,0,0,304,9,47,2
1,3,1,29,0,0,311,9,47,2
1,3,0,24,0,0,280,7,47,1
0,1,1,28,0,0,25,47,47,2
1,2,0,17,0,0,637,10,47,2
1,3,0,33,3,0,247,15,47,2
0,3,1,16,1,3,676,34,47,2
