fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
7,0,0,1,0,11,34,0,3,0,9,5
7,0,0,2,0,25,67,0,3,0,9,5
7,0,0,2,0,15,54,0,3,0,9,5
11,0,0,1,0,17,60,0,3,0,9,6
7,0,0,1,0,11,34,0,3,0,9,5
7,0,0,1,0,13,40,0,3,0,9,5
7,0,0,1,0,15,59,0,3,0,9,5
7,0,0,1,0,15,21,0,3,0,10,7
7,0,0,2,0,9,18,0,3,0,9,7
6,0,0,1,0,15,65,0,3,0,9,5
5,0,0,1,0,15,45,0,3,0,9,5
7,0,0,1,0,15,45,0,3,0,9,5
8,0,0,1,0,15,45,0,3,0,10,7
7,0,0,1,0,15,45,0,3,0,9,6
7,0,0,2,0,15,45,0,3,0,9,5
7,0,0,1,0,15,45,0,3,0,9,5
8,0,0,2,0,15,45,0,3,0,9,5
6,0,0,2,0,15,45,0,3,0,9,6
6,0,0,1,0,15,45,0,3,0,9,5
7,0,0,1,0,15,45,0,3,0,9,5
7,0,0,1,0,14,35,0,3,0,9,5
7,0,0,2,0,8,16,0,3,0,9,6
6,0,0,2,0,17,82,0,3,0,10,5
8,0,0,2,0,15,113,0,3,0,9,5
5,0,0,1,0,13,50,0,3,0,9,5
7,0,0,5,0,5,18,0,3,0,9,6
7,0,0,2,0,3,15,0,3,0,10,6
8,0,0,2,0,13,30,0,3,0,9,7
7,0,0,5,0,12,87,0,3,0,10,5
8,0,0,2,0,17,46,0,3,0,9,4
7,0,0,2,0,8,14,0,3,0,10,6
8,0,0,2,0,9,23,0,3,1,10,5
4,0,0,2,0,8,65,0,3,0,13,4
7,0,0,2,0,22,114,0,3,0,9,5
8,0,0,1,0,4,23,0,3,0,9,5
6,0,0,2,0,8,15,0,3,0,9,6
6,0,0,2,0,6,14,0,3,0,9,6
8,0,0,3,0,30,119,0,3,0,9,5
7,0,0,2,0,33,73,0,3,0,10,6
10,0,0,3,0,4,10,0,3,0,9,5
7,0,0,2,0,17,54,0,3,0,10,5
7,0,0,2,0,9,46,0,3,0,9,6
8,0,0,2,0,19,52,0,3,0,9,5
7,0,0,1,0,20,112,0,3,0,9,5
